year,bowler,economy,bowling_strike_rate,bowling_average,per_matches_played,per_balls_faced,per_out,per_runs,per_extras,F,run_1,out_1,str_rate1,bowl_avg1,eco_1,ext,bf,RFM_Segment_Concat,cluster
2013,RK Kleinveldt,6.239999999999998,12.5,13.0,12.5,2.7233115468409586,3.92156862745098,2.6,3.1746031746031744,1,1,2,2,2,1,2,1,11212,2
2015,RK Kleinveldt,6.773006134969325,20.375,23.0,100.0,18.66056096164854,17.777777777777782,16.599007668019848,21.83098591549296,4,4,4,3,3,2,4,4,44424,8
2016,RK Kleinveldt,7.1344537815126055,15.866666666666667,18.866666666666667,66.66666666666666,13.393359594822734,15.0,13.08973172987974,16.535433070866144,3,4,4,2,2,2,4,4,34424,7
2017,RK Kleinveldt,7.665399239543726,16.4375,21.0,50.0,9.491158426560807,12.698412698412698,8.816583573865126,7.881773399014778,2,3,3,2,3,3,3,3,23333,5
2018,RK Kleinveldt,10.24468085106383,20.88888888888889,35.666666666666664,64.28571428571429,11.906269791006965,14.285714285714285,13.800515907136715,14.666666666666664,3,4,4,3,4,4,4,3,34444,7
2008,LS Baker,6.947368421052633,38.0,44.0,28.57142857142857,3.6750483558994196,1.7543859649122806,3.303303303303303,3.3898305084745757,2,1,1,4,4,2,2,2,21122,3
2009,LS Baker,6.0,12.0,12.0,12.5,1.2133468149646107,1.7857142857142856,1.0221465076660987,0.0,1,1,1,2,2,1,1,1,11111,1
2008,EP Thompson,5.368421052631579,19.0,17.0,20.0,2.6388888888888893,2.564102564102564,1.8008474576271187,12.0,1,1,2,3,2,1,3,1,11213,2
2009,LL Tsotsobe,6.9230769230769225,13.0,15.0,8.333333333333332,0.8959338387319091,1.1363636363636365,0.8987417615338525,1.1494252873563218,1,1,1,2,2,2,1,1,11121,1
2010,LL Tsotsobe,5.876288659793813,16.166666666666668,15.833333333333336,36.36363636363637,7.127112417340191,7.2289156626506035,6.4802182810368345,3.7037037037037033,2,2,3,2,2,1,2,2,22312,4
2011,LL Tsotsobe,3.4117647058823533,12.75,7.25,66.66666666666666,13.821138211382115,21.052631578947366,6.54627539503386,47.368421052631575,3,2,4,2,1,1,4,4,32414,6
2012,LL Tsotsobe,7.588235294117648,0.0,0.0,26.66666666666667,4.4825313117996055,0.0,5.155875299760192,3.9682539682539684,2,2,1,1,1,3,2,2,22132,4
2013,LL Tsotsobe,5.739130434782608,23.0,22.0,87.5,17.538126361655777,13.725490196078432,15.4,22.222222222222218,4,4,4,3,3,1,4,4,44414,8
